"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"679","Ben Zobrist","outfield",540,75,12,61,9,0.262,7.28,25.84
"502","Justin Upton","outfield",530,71,23,74,8,0.253,7.26,25.77
"274","Nelson Cruz","outfield",518,70,26,80,5,0.249,7.21,25.6
"413","Ryan Zimmerman","third_base",507,69,19,71,3,0.275,7.14,25.36
"179","Coco Crisp","outfield",528,76,13,53,20,0.251,7.13,25.34
"445","Russell Martin","catcher",434,61,16,59,6,0.242,7.03,25.02
"851","Brian Dozier","second_base",576,78,16,63,16,0.24,6.95,24.74
"637","Mark Trumbo","outfield",526,67,29,81,4,0.246,6.77,24.15
"433","Brandon Moss","outfield",452,67,28,76,2,0.248,6.74,24.07
"853","Austin Jackson","outfield",566,75,9,51,15,0.256,6.68,23.87
"567","Nick Markakis","outfield",582,71,12,54,4,0.266,6.59,23.58
"233","Desmond Jennings","outfield",552,75,14,55,19,0.241,6.59,23.57
"159","Jorge Soler","outfield",508,66,23,77,4,0.262,6.57,23.52
"358","Eric Hosmer","first_base",573,76,19,77,7,0.278,6.46,23.14
"200","Justin Morneau","first_base",510,72,20,79,2,0.295,6.45,23.11
"23","Oswaldo Arcia","outfield",487,65,24,74,4,0.258,6.29,22.6
"140","Nori Aoki","outfield",531,70,6,44,18,0.279,6.27,22.51
"665","Salvador Perez","catcher",449,52,14,58,1,0.274,6.26,22.49
"400","Dexter Fowler","outfield",526,74,11,55,13,0.246,6.25,22.47
"26","Marcell Ozuna","outfield",565,66,22,76,4,0.255,6.15,22.14
"375","David Wright","third_base",512,66,16,65,9,0.275,6.15,22.13
"459","Chase Headley","third_base",518,69,17,68,8,0.257,6.12,22.04
"690","Neil Walker","second_base",501,67,17,66,3,0.273,6.12,22.03
"14","Billy Hamilton","outfield",610,75,8,46,68,0.245,6.09,21.92
"698","Travis d'Arnaud","catcher",454,54,17,61,2,0.251,6.02,21.72
"550","Matt Kemp","outfield",496,64,20,70,8,0.266,5.98,21.56
"488","Stephen Vogt","catcher",460,54,12,55,2,0.261,5.9,21.3
"419","Matt Wieters","catcher",429,54,17,57,3,0.246,5.8,21
"332","Martin Prado","third_base",577,67,11,63,5,0.274,5.76,20.84
"845","Jason Kipnis","second_base",540,71,13,62,20,0.253,5.66,20.52
"277","Pedro Alvarez","third_base",499,65,26,75,6,0.242,5.61,20.38
"830","Yan Gomes","catcher",421,51,16,57,2,0.257,5.52,20.08
"705","Jonathan Lucroy","catcher",380,49,10,48,4,0.282,5.51,20.03
"703","Todd Frazier","third_base",516,65,22,69,11,0.249,5.47,19.9
"765","Elvis Andrus","shortstop",599,76,4,54,28,0.269,5.45,19.86
"421","Daniel Murphy","second_base",572,67,9,56,11,0.277,5.39,19.65
"172","Michael Cuddyer","outfield",540,64,19,70,7,0.255,5.38,19.62
"862","Jay Bruce","outfield",497,64,24,72,8,0.239,5.24,19.17
"9","Dustin Ackley","outfield",531,67,13,59,8,0.252,5.22,19.1
"98","Leonys Martin","outfield",526,66,10,56,27,0.264,5.19,19
"586","Aaron Hill","second_base",579,67,16,65,6,0.252,5.09,18.65
"864","Chris Carter","first_base",522,74,32,83,4,0.223,5.08,18.63
"803","Chris Davis","first_base",483,71,30,79,3,0.242,5.04,18.49
"219","Josh Hamilton","outfield",510,64,19,70,4,0.247,5.03,18.47
"310","Michael Morse","outfield",504,61,20,70,1,0.259,5.02,18.43
"162","Wilson Ramos","catcher",394,46,16,55,1,0.269,4.96,18.25
"732","Dee Gordon","second_base",605,72,3,42,53,0.256,4.88,17.97
"640","Ian Desmond","shortstop",564,68,18,72,18,0.258,4.82,17.78
"606","Michael Bourn","outfield",543,69,5,43,19,0.253,4.8,17.7
"225","Adam LaRoche","first_base",505,73,25,77,2,0.239,4.77,17.63
"108","Xander Bogaerts","third_base",493,64,15,63,5,0.256,4.77,17.61
"192","Chase Utley","second_base",544,65,14,62,7,0.258,4.69,17.35
"133","Gregory Polanco","outfield",512,64,14,54,23,0.25,4.6,17.05
"457","Ben Revere","outfield",582,63,3,41,36,0.283,4.59,17.01
"717","Wilin Rosario","catcher",320,42,16,51,2,0.279,4.54,16.85
"338","Alejandro De Aza","outfield",473,63,10,48,16,0.263,4.5,16.73
"386","Josh Reddick","outfield",485,62,18,66,5,0.247,4.48,16.68
"559","Avisail Garcia","outfield",504,59,17,65,9,0.263,4.42,16.48
"308","Angel Pagan","outfield",504,62,7,44,18,0.273,4.38,16.34
"118","Marcus Semien","third_base",504,65,16,61,9,0.239,4.35,16.25
"311","Mike Napoli","first_base",461,71,22,73,3,0.244,4.22,15.82
"839","Jimmy Rollins","shortstop",561,72,13,53,20,0.237,4.2,15.75
"554","Devin Mesoraco","catcher",375,46,18,54,2,0.246,4.18,15.69
"650","Yadier Molina","catcher",376,43,9,47,2,0.284,4.18,15.69
"19","Brandon Belt","first_base",521,67,20,72,7,0.268,4.18,15.68
"1","Aramis Ramirez","third_base",480,58,17,66,2,0.266,4.13,15.53
